"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 15 00:56:31 IST 2023","Mon May 15 00:56:31 IST 2023","1","","Order Product from Swag labs","","","","should display user locked out error",""
"passed","Mon May 15 00:56:04 IST 2023","Mon May 15 00:56:04 IST 2023","3","","Order Product from Swag labs","","","","should be able to order product",""
